city,state,country,latitude,longitude,population,msa,cluster,pred-MSA
raurkela,odisha,india,22.22496,84.86414,536450,,7619,raurkela odisha msa
voronezh,voronezj,russia,51.67204,39.1843,848752,,7620,voronezh voronezj msa
perpignan,occitanie,france,42.69764,2.89541,110706,,2525,perpignan occitanie msa
gorakhpur,uttar pradesh,india,26.76628,83.36889,674246,,7621,gorakhpur uttar pradesh msa
east orange,new jersey,united states,40.76732,-74.20487,64949,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,0,new york city-brooklyn-queens new york msa
clifton,new jersey,united states,40.85843,-74.16376,86334,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,0,new york city-brooklyn-queens new york msa
bonita,california,united states,32.65783,-117.03003,12538,San Diego-Carlsbad-San Marcos CA MSA,2146,san diego-tijuana-chula vista california-baja california msa
lisburn,northern ireland,united kingdom,54.52337,-6.03527,77506,,1244,belfast-lisburn-newtownabbey northern ireland msa
saint clair shores,michigan,united states,42.49698,-82.88881,59715,Detroit-Warren-Livonia MI MSA,157,detroit-windsor-warren michigan-ontario msa
milford,new hampshire,united states,42.83536,-71.64896,8835,Manchester-Nashua NH MSA,79,boston-south boston-worcester massachusetts msa
renens,vaud,switzerland,46.53989,6.5881,17811,,11,zurich-freiburg-geneva zurich-baden wurttemberg-geneve msa
stouffville,ontario,canada,43.9667,-79.25,45837,,23,toronto-markham-vaughan ontario msa
piotrkow trybunalski,łodz voivodeship,poland,51.40547,19.70321,80128,,7623,piotrkow trybunalski łodz voivodeship msa
englewood,florida,united states,26.96201,-82.3526,14863,Sarasota-Bradenton-Venice FL MSA,4989,north port florida msa
salamanca,castille and leon,spain,40.96882,-5.66388,155619,,7624,salamanca castille and leon msa
navi mumbai,maharashtra,india,19.03681,73.01582,2600000,,2310,mumbai-navi mumbai-kalyan maharashtra msa
la crosse,wisconsin,united states,43.80136,-91.23958,52306,La Crosse WI-MN MSA,1096,la crosse wisconsin msa
munster,north rhine westphalia,germany,51.96236,7.62571,270184,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
valenciennes,hauts de france,france,50.35909,3.52506,44821,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
el sobrante,california,united states,37.97715,-122.29525,12669,San Francisco-Oakland-Fremont CA MSA,264,san jose-san francisco-oakland california msa
belmont,massachusetts,united states,42.39593,-71.17867,24729,Boston-Cambridge-Quincy MA-NH MSA,79,boston-south boston-worcester massachusetts msa
mechelen,flanders,belgium,51.02574,4.47762,77530,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
ruislip,england,united kingdom,51.57344,-0.42341,31000,,18,london-manchester-birstall england-manchester-leicester msa
changzhou,jiangsu,china,31.77359,119.95401,3290918,,7625,changzhou jiangsu msa
london,england,united kingdom,51.50853,-0.12574,8961989,,18,london-manchester-birstall england-manchester-leicester msa
brisbane,queensland,australia,-27.46794,153.02809,2189878,,122,brisbane-gold coast-logan city queensland msa
omaha,nebraska,united states,41.25626,-95.94043,486051,Omaha-Council Bluffs NE-IA MSA,1400,omaha-council bluffs-bellevue nebraska-iowa msa
salem,oregon,united states,44.9429,-123.0351,164549,Salem OR MSA,7626,salem oregon msa
dhaka,dhaka,bangladesh,23.7104,90.40744,10356500,,1227,dhaka-tungi-narayanganj dhaka msa
bandung,west java,indonesia,-6.92222,107.60694,1699719,,437,bandung-cimahi-lembang west java msa
poznan,greater poland,poland,52.40692,16.92993,570352,,2600,poznan greater poland msa
hartford,connecticut,united states,41.76371,-72.68509,124006,Hartford-West Hartford-East Hartford CT MSA,0,new york city-brooklyn-queens new york msa
deauville,normandy,france,49.357,0.06995,4677,,1254,le havre-caen normandy msa
seattle,washington,united states,47.60621,-122.33207,737015,Seattle-Tacoma-Bellevue WA MSA,242,seattle-tacoma-bellevue washington msa
las vegas,nevada,united states,36.17497,-115.13722,623747,Las Vegas-Paradise NV MSA,1208,las vegas-north las vegas-paradise nevada msa
minneapolis,minnesota,united states,44.97997,-93.26384,410939,Minneapolis-St. Paul-Bloomington MN-WI MSA,199,minneapolis-st paul-saint paul minnesota msa
ferrara,emilia romagna,italy,44.83804,11.62057,92802,,998,ferrara emilia romagna msa
salisbury,england,united kingdom,51.06931,-1.79569,44748,,18,london-manchester-birstall england-manchester-leicester msa
trondheim,trøndelag,norway,63.43049,10.39506,147139,,104,trondheim trøndelag msa
auckland,auckland,new zealand,-36.84853,174.76349,417910,,111,auckland-manukau city-north shore auckland msa
bruges,flanders,belgium,51.2089,3.2242,118053,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
fontenay,normandy,france,49.55993,0.18391,1069,,1254,le havre-caen normandy msa
lancaster,texas,united states,32.59208,-96.75611,38801,Dallas-Fort Worth-Arlington TX MSA,445,dallas-fort worth-arlington texas msa
nurnberg,bavaria,germany,49.45421,11.07752,515543,,21,nuremberg-nurnberg-furth bavaria msa
orlando,florida,united states,28.53834,-81.37924,270934,Orlando-Kissimmee FL MSA,1412,orlando-deltona-kissimmee florida msa
