,city,state,country,latitude,longitude,population,msa
21530,haguenau,grand est,france,48.81557,7.79051,38721,
21531,mount holly,new jersey,united states,39.99289,-74.78766,10804,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA
21532,san jose costa rica,oaxaca,mexico,16.14222,-97.08806,15,
21533,vannes,brittany,france,47.65688,-2.76205,54020,
21534,norrtalje,stockholm,sweden,59.75799,18.70496,19365,
21535,etten leur,noord brabant,netherlands,51.5706,4.6356,43774,
21536,ballymena,northern ireland,united kingdom,54.86357,-6.27628,28932,
21538,tirana,tirana,albania,41.3275,19.81889,374801,
21539,altoona,pennsylvania,united states,40.51868,-78.39474,45344,Altoona PA MSA
21540,la molina,lima,peru,-11.8286,-77.0164,0,
21541,crato,ceara,brazil,-7.23417,-39.40944,88786,
21542,atlantic city,new jersey,united states,39.36415,-74.42306,39260,Atlantic City NJ MSA
21544,carthage,north carolina,united states,35.34599,-79.41697,2395,NC NONMETROPOLITAN AREA
21545,palm beach gardens,florida,united states,26.82339,-80.13865,52923,Miami-Fort Lauderdale-Pompano Beach FL MSA
21546,market deeping,england,united kingdom,52.67654,-0.31629,13574,
21547,mondovi,piedmont,italy,44.39603,7.81764,21880,
21550,cheyenne,wyoming,united states,41.13998,-104.82025,63335,Cheyenne WY MSA
21551,nanded,maharashtra,india,19.16023,77.31497,550564,
21552,depok,west java,indonesia,-6.4,106.81861,1198129,
21553,los alamitos,california,united states,33.80307,-118.07256,11449,Los Angeles-Long Beach-Santa Ana CA MSA
21554,zanjan,zanjan,iran,36.67642,48.49628,357471,
21555,oswego,new york,united states,43.45535,-76.5105,17787,Syracuse NY MSA
21556,gorinchem,south holland,netherlands,51.83652,4.97243,34736,
21557,mason city,iowa,united states,43.15357,-93.20104,27366,IA NONMETROPOLITAN AREA
21559,bellingham,washington,united states,48.75955,-122.48822,85146,Bellingham WA MSA
21560,waukesha,wisconsin,united states,43.01168,-88.23148,71970,Milwaukee-Waukesha-West Allis WI MSA
21561,saint sebastien sur loire,pays de la loire,france,47.20768,-1.50332,29238,
21562,daphne,alabama,united states,30.60353,-87.9036,24896,AL NONMETROPOLITAN AREA
21563,strongsville,ohio,united states,41.3145,-81.83569,44668,Cleveland-Elyria-Mentor OH MSA
21564,batavia,illinois,united states,41.85003,-88.31257,26495,Chicago-Naperville-Joliet IL-IN-WI MSA
21565,ciudad del carmen,campeche,mexico,18.64592,-91.82991,169466,
21566,kalundborg,zealand,denmark,55.67954,11.08864,15939,
21567,corbetta,lombardy,italy,45.46723,8.91867,13801,
21568,huancayo,junin,peru,-12.06513,-75.20486,376657,
21569,tubarao,santa catarina,brazil,-28.46667,-49.00694,67245,
21570,rancho santa fe,california,united states,33.02032,-117.20281,3117,San Diego-Carlsbad-San Marcos CA MSA
21571,chon buri,chon buri,thailand,13.3622,100.98345,219164,
21572,patos de minas,minas gerais,brazil,-18.57889,-46.51806,126234,
21573,ahoskie,north carolina,united states,36.28682,-76.98468,4910,NC NONMETROPOLITAN AREA
21575,hoorn,north holland,netherlands,52.6425,5.05972,68852,
21576,lincolnton,north carolina,united states,35.47375,-81.25453,10900,NC NONMETROPOLITAN AREA
21577,norderstedt,schleswig holstein,germany,53.6859,9.98041,71439,
21578,suisse,grand est,france,48.96565,6.57962,104,
21579,fountain valley,california,united states,33.70918,-117.95367,56987,Los Angeles-Long Beach-Santa Ana CA MSA
21580,darwin,northern territory,australia,-12.46113,130.84185,129062,
21581,wigan,england,united kingdom,53.54296,-2.63706,175405,
21582,federal way,washington,united states,47.32232,-122.31262,95171,Seattle-Tacoma-Bellevue WA MSA
21583,wilmington,massachusetts,united states,42.54648,-71.17367,22325,Boston-Cambridge-Quincy MA-NH MSA
21584,lulea,norrbotten,sweden,65.58415,22.15465,43574,
21585,cromwell,otago,new zealand,-45.03837,169.20008,5160,
21586,padang,west sumatra,indonesia,-0.94924,100.35427,840352,
21587,pretoria,gauteng,south africa,-25.74486,28.18783,1619438,
21588,ypsilanti,michigan,united states,42.24115,-83.61299,19945,Ann Arbor MI MSA
21589,oak brook,illinois,united states,41.83281,-87.92895,8091,Chicago-Naperville-Joliet IL-IN-WI MSA
21590,sandnes,rogaland,norway,58.85244,5.73521,63032,
21591,dortmund,north rhine westphalia,germany,51.51494,7.466,588462,
21594,tlaquepaque,jalisco,mexico,20.64091,-103.29327,575942,
21595,tynset,innlandet,norway,62.27594,10.78241,2356,
21596,kingwood,texas,united states,30.0336,-95.261,0,Houston-Sugar Land-Baytown TX MSA
21597,aurora,illinois,united states,41.76058,-88.32007,200661,Chicago-Naperville-Joliet IL-IN-WI MSA
21598,bendigo,victoria,australia,-36.75818,144.28024,100617,
21599,dourges,hauts de france,france,50.43636,2.98589,5761,
21600,mayotte,ouest,haiti,18.5147,-72.2674,0,
21601,bari,puglia,italy,41.1253,16.8667,323370,
21602,weybridge,england,united kingdom,51.37178,-0.45975,19463,
21603,seminole,florida,united states,27.83975,-82.79121,18153,Tampa-St. Petersburg-Clearwater FL
21604,herpen,north brabant,netherlands,51.77167,5.64167,2360,
21605,souderton,pennsylvania,united states,40.31177,-75.32518,6747,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA
21606,laurel,maryland,united states,39.09928,-76.84831,26215,Washington-Arlington-Alexandria DC-VA-MD-WV MSA
21607,cambridge,ohio,united states,40.03118,-81.58846,10402,OH NONMETROPOLITAN AREA
21608,petrolina,pernambuco,brazil,-9.39861,-40.50083,194650,
21609,akola,maharashtra,india,20.70957,76.9981,428857,
21611,burlington,north carolina,united states,36.09569,-79.4378,52472,Burlington NC MSA
21612,lafayette,california,united states,37.88576,-122.11802,25843,San Francisco-Oakland-Fremont CA MSA
21613,camp hill,pennsylvania,united states,40.23981,-76.91997,7923,Harrisburg-Carlisle PA MSA
21614,beaver dam,wisconsin,united states,43.45777,-88.83733,16564,WI NONMETROPOLITAN AREA
21615,reggio calabria,calabria,italy,38.11047,15.66129,169140,
21616,hyderabad,sindh,pakistan,25.39242,68.37366,1386330,
21617,appleton,wisconsin,united states,44.26193,-88.41538,74139,Appleton WI MSA
21619,kelibia,nabul,tunisia,36.84757,11.09386,58524,
21622,new brunswick,new jersey,united states,40.48622,-74.45182,57035,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
21623,bekasi,west java,indonesia,-6.2349,106.9896,1520119,
21624,nova iguacu,rio de janeiro,brazil,-22.75917,-43.45111,1002118,
21625,leidschendam,zuid holland,netherlands,52.0833,4.4,39567,
21627,penzberg,bavaria,germany,47.75293,11.377,16079,
21628,pinckney,michigan,united states,42.457,-83.94791,2436,Detroit-Warren-Livonia MI MSA
21629,port orange,florida,united states,29.13832,-80.99561,59866,Deltona-Daytona Beach-Ormond Beach FL MSA
21630,columbia falls,montana,united states,48.37246,-114.18152,5093,MT NONMETROPOLITAN AREA
21631,campobasso,molise,italy,41.55947,14.66737,39723,
21632,south lake tahoe,california,united states,38.93324,-119.98435,21706,Sacramento-Arden-Arcade-Roseville CA MSA
21633,sechura,piura,peru,-5.55694,-80.82222,23020,
21634,jablonec nad nisou,liberecky kraj,czechia,50.72431,15.17108,44878,
21635,eskilstuna,sodermanland,sweden,59.36661,16.5077,67359,
21637,abqaiq,eastern province,saudi arabia,25.93402,49.6688,29474,
21641,dehiwala,western,sri lanka,6.8523,79.8656,0,
21642,palmira,valle del cauca,colombia,3.53944,-76.30361,247986,
21644,downingtown,pennsylvania,united states,40.0065,-75.70327,7946,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA
21645,port lavaca,texas,united states,28.615,-96.62609,12416,Victoria TX MSA
21646,cagayan de oro,northern mindanao,philippines,8.48222,124.64722,445103,
21647,concon,valparaiso,chile,-32.9167,-71.5167,32273,
21648,lexington park,maryland,united states,38.26679,-76.45384,11626,MD NONMETROPOLITAN AREA
21649,glens falls,new york,united states,43.30952,-73.64401,14291,Glens Falls NY MSA
21650,umuarama,parana,brazil,-23.76639,-53.325,107319,
21651,edinboro,pennsylvania,united states,41.87422,-80.13172,6335,Erie PA MSA
21652,chesterfield,virginia,united states,37.3771,-77.5058,0,Richmond VA MSA
21653,ajax,ontario,canada,43.85012,-79.03288,119677,
21654,liberec,liberecky kraj,czechia,50.76711,15.05619,97770,
21655,pelham,new hampshire,united states,42.73453,-71.32451,12676,Manchester-Nashua NH MSA
21656,levis,quebec,canada,46.80326,-71.17793,143414,
21657,chillicothe,ohio,united states,39.33312,-82.9824,21727,OH NONMETROPOLITAN AREA
21658,henderson,north carolina,united states,36.32959,-78.39916,15271,Las Vegas-Paradise NV MSA
21659,winkler,manitoba,canada,49.1817,-97.94104,12660,
21661,lakeville,minnesota,united states,44.64969,-93.24272,60633,Minneapolis-St. Paul-Bloomington MN-WI MSA
21662,asaba,delta,nigeria,6.19824,6.73187,73374,
21664,germantown,wisconsin,united states,43.22862,-88.11037,19993,Milwaukee-Waukesha-West Allis WI MSA
21665,mays landing,new jersey,united states,39.45234,-74.72766,2135,Atlantic City NJ MSA
21666,springfield,new jersey,united states,40.70491,-74.31723,14429,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
21667,six fours les plages,provence alpes cote d azur,france,43.09174,5.82465,34779,
21668,hemet,california,united states,33.74761,-116.97307,83861,Riverside-San Bernardino-Ontario CA MSA
21671,chalons en champagne,grand est,france,48.95393,4.36724,51257,
21672,miraflores,guaviare,colombia,1.33667,-71.95111,4864,
21673,manta,manabi,ecuador,-0.96212,-80.71271,183166,
21674,aland,karnataka,india,17.56425,76.56854,39064,
21675,agordo,veneto,italy,46.28201,12.03608,3861,
21678,bromsgrove,england,united kingdom,52.33574,-2.05983,49117,
21681,lahti,paijat hame,finland,60.98267,25.66151,98826,
21682,deerfield beach,florida,united states,26.31841,-80.09977,79768,Miami-Fort Lauderdale-Pompano Beach FL MSA
21683,woodbridge,ontario,canada,43.7779,-79.5952,0,
21684,lyss,bern,switzerland,47.0741,7.30655,10937,
21685,pithampur,madhya pradesh,india,22.60197,75.69649,68051,
21686,creteil,ile de france,france,48.79266,2.46569,84833,
21687,lakewood,new jersey,united states,40.09789,-74.21764,53805,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
21688,brossard,quebec,canada,45.45008,-73.46583,69575,
21689,stevens point,wisconsin,united states,44.52358,-89.57456,26604,WI NONMETROPOLITAN AREA
21690,houilles,ile de france,france,48.92161,2.19263,31121,
21691,vero beach,florida,united states,27.63864,-80.39727,16358,Sebastian-Vero Beach FL MSA
21692,gabes,qabis,tunisia,33.88146,10.0982,110075,
21693,northwood,hertfordshire,united kingdom,51.601,-0.4176,22047,
21695,santa fe springs,california,united states,33.94724,-118.08535,18026,Los Angeles-Long Beach-Santa Ana CA MSA
21696,pilar,buenos aires,argentina,-34.45866,-58.9142,226517,
21697,franklin,north carolina,united states,35.18232,-83.38154,3940,NC NONMETROPOLITAN AREA
21699,gouda,south holland,netherlands,52.01667,4.70833,71952,
21700,elburg,gelderland,netherlands,52.4475,5.84306,21844,
21701,lviv,lviv oblast,ukraine,49.83826,24.02324,717803,
21703,lucerne,luzern,switzerland,47.0523,8.3059,81691,
21704,humble,texas,united states,29.99883,-95.26216,15665,Houston-Sugar Land-Baytown TX MSA
21706,rostock,mecklenburg vorpommern,germany,54.0887,12.14049,198293,
21707,furth,bavaria,germany,49.47593,10.98856,112025,
21708,summerville,south carolina,united states,33.0185,-80.17565,48848,Charleston-North Charleston SC MSA
21709,crestwood,illinois,united states,41.64463,-87.74154,10984,Chicago-Naperville-Joliet IL-IN-WI MSA
21710,ciudad real,castille la mancha,spain,38.98626,-3.92907,74014,
21711,itajuba,minas gerais,brazil,-22.42556,-45.45278,81870,
21712,freeland,michigan,united states,43.52503,-84.12276,6969,Saginaw-Saginaw Township North MI MSA
21713,fort mcmurray,alberta,canada,56.72676,-111.38103,66573,
21714,akure,ondo,nigeria,7.25256,5.19312,420594,
21715,nunspeet,gelderland,netherlands,52.37917,5.78611,19496,
21716,kaliningrad,kaliningrad,russia,54.70649,20.51095,434954,
21717,winterville,north carolina,united states,35.52905,-77.40108,9464,Greenville NC MSA
21718,litchfield park,arizona,united states,33.49337,-112.35794,5533,Phoenix-Mesa-Scottsdale AZ MSA
21719,salem,tamil nadu,india,11.65376,78.15538,917414,
21720,nagercoil,tamil nadu,india,8.17899,77.43227,224849,
21721,mohammedia,casablanca settat,morocco,33.68607,-7.38298,187708,
21722,coevorden,drenthe,netherlands,52.66103,6.74046,14600,
21723,nantucket,massachusetts,united states,41.28346,-70.09946,7446,MA NONMETROPOLITAN AREA
21724,kalisz,greater poland,poland,51.76109,18.09102,108759,
21725,walnut creek,california,united states,37.90631,-122.06496,68910,San Francisco-Oakland-Fremont CA MSA
21726,lowestoft,england,united kingdom,52.47523,1.75167,70945,
21727,morgan hill,california,united states,37.1305,-121.65439,42948,San Jose-Sunnyvale-Santa Clara CA MSA
21728,bay shore,new york,united states,40.7251,-73.24539,26337,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
21729,khulna,khulna,bangladesh,22.80979,89.56439,1342339,
21730,pau,nouvelle aquitaine,france,43.31117,-0.35583,82697,
21732,zaria,kaduna,nigeria,11.11128,7.7227,975153,
21733,samarinda,east kalimantan,indonesia,-0.49167,117.14583,355160,
21735,damascus,dimashq,syria,33.5102,36.29128,1569394,
21737,busto arsizio,lombardy,italy,45.61128,8.84914,79519,
21738,strathroy,ontario,canada,42.9558,-81.6226,0,
21739,richmond,british columbia,canada,49.17003,-123.13683,198309,Richmond VA MSA
21740,trujillo,la libertad,peru,-8.11599,-79.02998,747450,
21741,monroe,louisiana,united states,32.50931,-92.1193,49598,Monroe LA MSA
21742,lenexa,kansas,united states,38.95362,-94.73357,52490,Kansas City MO-KS MSA
21743,renca,region metropolitana,chile,-33.4,-70.7333,0,
21746,milpitas,california,united states,37.42827,-121.90662,77604,San Jose-Sunnyvale-Santa Clara CA MSA
21747,comas,lima,peru,-11.95,-77.0667,0,
21748,zedelgem,flanders,belgium,51.14236,3.1368,21968,
21749,columbia,tennessee,united states,35.61507,-87.03528,36800,TN NONMETROPOLITAN AREA
21751,weston,massachusetts,united states,42.36676,-71.30311,11682,Boston-Cambridge-Quincy MA-NH MSA
21752,nord est,veneto,italy,45.63091,11.49471,56,
21753,taranto,apulia,italy,40.46438,17.24707,181082,
21754,best,north brabant,netherlands,51.5075,5.39028,29074,
21755,arauco,biobio,chile,-37.2463,-73.31752,24659,
21756,argenteuil,ile de france,france,48.94788,2.24744,101475,
21757,telemaco borba,parana,brazil,-24.32389,-50.61556,58880,
21758,dietzenbach,hesse,germany,50.00976,8.77783,33256,
21759,aubervilliers,ile de france,france,48.91667,2.38333,70914,
21760,skelleftea,vasterbotten,sweden,64.75067,20.95279,35516,
21761,tegucigalpa,francisco morazan,honduras,14.0818,-87.20681,850848,
21762,raeford,north carolina,united states,34.981,-79.2242,4860,Fayetteville NC MSA
21763,carbondale,pennsylvania,united states,41.57369,-75.50185,8566,Scranton--Wilkes-Barre PA MSA
21764,klang,selangor,malaysia,3.03667,101.44333,879867,
21765,vertou,pays de la loire,france,47.16878,-1.4729,22921,
21766,crystal lake,illinois,united states,42.24113,-88.3162,40448,Chicago-Naperville-Joliet IL-IN-WI MSA
21767,unterschleißheim,bavaria,germany,48.28038,11.57684,25567,
21768,sudbury,ontario,canada,46.49,-81.01,88054,
21769,roznov pod radhostem,zlin,czechia,49.45853,18.14302,17238,
21771,st peters,missouri,united states,38.7824,-90.6061,58212,
21773,skedsmokorset,akershus,norway,60.0167,11.0417,0,
21774,radomsko,łodz voivodeship,poland,51.06713,19.44477,45353,
21775,dorchester,england,united kingdom,50.71667,-2.43333,16879,
21776,bhiwandi,maharashtra,india,19.30023,73.05881,707035,
21777,fremantle,western australia,australia,-32.05632,115.74557,8616,
21779,oconomowoc,wisconsin,united states,43.11167,-88.49927,16360,Milwaukee-Waukesha-West Allis WI MSA
21780,tempe,new south wales,australia,-33.92335,151.1602,3500,
21782,alnwick,england,united kingdom,55.41318,-1.70563,8116,
21783,krasnoyarsk,krasnoyarskiy,russia,56.01839,92.86717,927200,
21784,nieuwkuijk,north brabant,netherlands,51.69,5.18194,2140,
21785,monaca,pennsylvania,united states,40.68729,-80.27145,5649,Pittsburgh PA MSA
21786,woerden,utrecht,netherlands,52.085,4.88333,48431,
21787,mpumalanga,kwazulu natal,south africa,-29.81292,30.63646,140121,
21788,carbondale,illinois,united states,37.72727,-89.21675,26399,IL NONMETROPOLITAN AREA
21789,fuenlabrada,madrid,spain,40.28419,-3.79415,197836,
21790,kirkland,washington,united states,47.68149,-122.20874,87281,Seattle-Tacoma-Bellevue WA MSA
21791,nagar,punjab,india,30.2998,76.5673,0,
21792,geneseo,new york,united states,42.7959,-77.81695,8173,Rochester NY MSA
21793,atherstone,england,united kingdom,52.57536,-1.54693,11237,
21794,martinez,california,united states,38.01937,-122.13413,38137,San Francisco-Oakland-Fremont CA MSA
21795,la verne,california,united states,34.10084,-117.76784,32681,Los Angeles-Long Beach-Santa Ana CA MSA
21796,doesburg,gelderland,netherlands,52.06667,5.61667,1050,
21797,streamwood,illinois,united states,42.02558,-88.17841,40554,Chicago-Naperville-Joliet IL-IN-WI MSA
21798,wattala,western,sri lanka,6.98918,79.89167,30725,
21799,morelia,michoacan de ocampo,mexico,19.7683,-101.1894,784776,
21800,nicosia,nicosia,cyprus,35.17531,33.3642,200452,
21802,reston,virginia,united states,38.96872,-77.3411,58404,Washington-Arlington-Alexandria DC-VA-MD-WV MSA
21803,baraboo,wisconsin,united states,43.47109,-89.74429,12155,WI NONMETROPOLITAN AREA
21804,goch,north rhine westphalia,germany,51.67873,6.15895,33706,
21806,mirabel,quebec,canada,45.65008,-74.08251,34626,
21807,bidar,karnataka,india,17.90802,77.51524,204071,
21809,gulfport,mississippi,united states,30.36742,-89.09282,71856,Gulfport-Biloxi MS MSA
21810,lambertville,new jersey,united states,40.36594,-74.94294,3833,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
21812,grangemouth,scotland,united kingdom,56.01141,-3.72183,17280,
21813,american fork,utah,united states,40.3769,-111.79576,28326,Provo-Orem UT MSA
21814,christchurch,canterbury,new zealand,-43.53333,172.63333,363926,
21815,glenmont,new york,united states,42.6048,-73.7696,0,Albany-Schenectady-Troy NY MSA
21816,starkville,mississippi,united states,33.45049,-88.81961,25366,MS NONMETROPOLITAN AREA
21817,nugegoda,western,sri lanka,6.8735,79.8899,0,
21818,bandar baru bangi,selangor,malaysia,2.9451,101.7735,0,
21819,olsztyn,warmia masuria,poland,53.77995,20.49416,171803,
21820,maple,ontario,canada,43.8566,-79.5111,0,
21823,jammu,jammu and kashmir,india,32.73528,74.86167,465567,
21824,esslingen,baden wurttemberg,germany,48.73961,9.30473,92390,
21825,lecco,lombardy,italy,45.85589,9.39704,46580,
21826,marum,groningen,netherlands,53.14417,6.2625,5170,
21827,charenton le pont,ile de france,france,48.82209,2.41217,30910,
21828,assen,drenthe,netherlands,52.99667,6.5625,62237,
21829,paterson,new jersey,united states,40.91677,-74.17181,147754,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
21830,shelbyville,indiana,united states,39.52144,-85.77692,19133,Indianapolis-Carmel IN MSA
21831,peoria,arizona,united states,33.5806,-112.23738,190985,Phoenix-Mesa-Scottsdale AZ MSA
21832,bridgeport,connecticut,united states,41.17923,-73.18945,147629,Bridgeport-Stamford-Norwalk CT MSA
21834,novato,california,united states,38.10742,-122.5697,55530,San Francisco-Oakland-Fremont CA MSA
21835,olney,illinois,united states,38.73088,-88.08532,9005,IL NONMETROPOLITAN AREA
21836,huntingdon,england,united kingdom,52.33049,-0.18651,23937,
21837,viroqua,wisconsin,united states,43.55692,-90.88874,4362,WI NONMETROPOLITAN AREA
21838,surquillo,san martin,peru,-5.80111,-77.26889,123,
21839,staunton,virginia,united states,38.14991,-79.0732,24416,VA NONMETROPOLITAN AREA
21840,bad vilbel,hesse,germany,50.17866,8.73756,30736,
21841,oyster bay,new york,united states,40.86565,-73.53207,6707,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
21842,north grafton,massachusetts,united states,42.2334,-71.7078,0,Worcester MA MSA
21844,sandton,gauteng,south africa,-26.107,28.0517,222415,
21845,maldegem,flanders,belgium,51.20737,3.44511,22092,
21846,caringbah,new south wales,australia,-34.03534,151.12468,11830,
21847,san fernando,california,united states,34.28195,-118.43897,24931,Los Angeles-Long Beach-Santa Ana CA MSA
21848,huntington,indiana,united states,40.8831,-85.49748,17095,IN NONMETROPOLITAN AREA
21849,skokie,illinois,united states,42.03336,-87.73339,64821,Chicago-Naperville-Joliet IL-IN-WI MSA
21850,thanesar,haryana,india,29.97323,76.83214,138279,
21853,kankakee,illinois,united states,41.12003,-87.86115,26676,Kankakee-Bradley IL MSA
21854,tudela,navarre,spain,42.06166,-1.60452,34717,
21855,odessa,texas,united states,31.84568,-102.36764,118968,Odessa TX MSA
21856,sebring,florida,united states,27.49559,-81.44091,10497,FL NONMETROPOLITAN AREA
21857,tangier,tanger tetouan al hoceima,morocco,35.76727,-5.79975,688356,
21858,tiffin,ohio,united states,41.1145,-83.17797,17687,OH NONMETROPOLITAN AREA
21859,davis,california,united states,38.54491,-121.74052,67666,Sacramento-Arden-Arcade-Roseville CA MSA
21860,crown point,indiana,united states,41.41698,-87.36531,28879,Chicago-Naperville-Joliet IL-IN-WI MSA
21861,la estrella,antioquia,colombia,6.15769,-75.64317,49386,
21862,santiago de queretaro,queretaro,mexico,20.58806,-100.38806,626495,
21863,keuka park,new york,united states,42.61535,-77.09219,1137,NY NONMETROPOLITAN AREA
21864,orillia,ontario,canada,44.60868,-79.42068,31166,
21865,suitland,maryland,united states,38.84872,-76.92386,25825,Washington-Arlington-Alexandria DC-VA-MD-WV MSA
21866,lodz,lodzkie,poland,51.7769,19.4547,690422,
21867,hugo,minnesota,united states,45.15997,-92.99327,14388,Minneapolis-St. Paul-Bloomington MN-WI MSA
21868,gwangju,gyeonggi do,south korea,37.41,127.25722,81780,
21869,guaynabo,guaynabo,puerto rico,18.35745,-66.111,81360,
21870,hempstead,new york,united states,40.70621,-73.61874,55547,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
21871,flint,michigan,united states,43.01253,-83.68746,98310,Flint MI MSA
21872,new milford,new jersey,united states,40.9351,-74.01903,16801,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
21874,reutlingen,baden wurttemberg,germany,48.49144,9.20427,112627,
21875,waianae,hawaii,united states,21.43785,-158.18555,13177,Honolulu HI MSA
21876,seri kembangan,selangor,malaysia,3.0333,101.7167,0,
21880,hillsboro,oregon,united states,45.52289,-122.98983,102347,Portland-Vancouver-Beaverton OR-WA MSA
21881,barquisimeto,lara,venezuela,10.0647,-69.35703,1114097,
21882,freetown,western area,sierra leone,8.48714,-13.2356,802639,
21883,woodstock,connecticut,united states,41.9694,-72.0222,7836,CT NONMETROPOLITAN AREA
21884,biella,piedmont,italy,45.56304,8.05796,43030,
21886,tupelo,mississippi,united states,34.25807,-88.70464,35680,MS NONMETROPOLITAN AREA
21887,groenlo,gelderland,netherlands,52.05,6.6167,9119,
21888,sevran,ile de france,france,48.94472,2.52746,47334,
21890,ogden,utah,united states,41.223,-111.97383,85444,Ogden-Clearfield UT MSA
21891,woodburn,oregon,united states,45.14373,-122.85537,25173,Salem OR MSA
21892,wollongong,new south wales,australia,-34.424,150.89345,292190,
21893,mangalore,karnataka,india,12.91723,74.85603,417387,
21894,punta del este,maldonado,uruguay,-34.94747,-54.93382,9277,
21895,clinton,new jersey,united states,40.63677,-74.90989,2657,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
21896,center valley,pennsylvania,united states,40.52927,-75.39324,711,Allentown-Bethlehem-Easton PA-NJ MSA
21898,key west,florida,united states,24.55524,-81.78163,25755,FL NONMETROPOLITAN AREA
21899,hitchin,england,united kingdom,51.94924,-0.28496,36099,
21900,asnieres sur seine,ile de france,france,48.91667,2.28333,86742,
21901,macapa,amapa,brazil,0.03889,-51.06639,338936,
21903,pacific grove,california,united states,36.61774,-121.91662,15674,Salinas CA MSA
21906,san andres,san andres y providencia,colombia,12.58317,-81.70636,58257,
21908,cirebon,west java,indonesia,-6.7063,108.557,254298,
21910,carol stream,illinois,united states,41.91253,-88.13479,40356,Chicago-Naperville-Joliet IL-IN-WI MSA
21911,asbury park,new jersey,united states,40.22039,-74.01208,15818,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
21912,barra do garcas,mato grosso,brazil,-15.89,-52.25667,52398,
21913,molsheim,grand est,france,48.54042,7.49199,9953,
21914,durgapur,west bengal,india,23.51583,87.30801,518872,
21917,neptune beach,florida,united states,30.31191,-81.39647,7269,Jacksonville FL MSA
21919,oakton,virginia,united states,38.88095,-77.30082,34166,Washington-Arlington-Alexandria DC-VA-MD-WV MSA
21923,la plaine saint denis,ile de france,france,48.9085,2.3638,0,
21924,charlestown,new hampshire,united states,43.23869,-72.42453,1152,NH NONMETROPOLITAN AREA
21925,ciudadela,buenos aires,argentina,-34.6398,-58.5425,0,
21926,vizela,porto,portugal,41.38242,-8.24887,4066,
21928,janesville,wisconsin,united states,42.68279,-89.01872,64123,Janesville WI MSA
21929,steubenville,ohio,united states,40.36979,-80.63396,18219,Weirton-Steubenville WV-OH MSA
21931,la pintana,santiago metropolitan,chile,-33.58331,-70.63419,201178,
21932,colombia,las tunas,cuba,20.98812,-77.42598,20096,
21935,tecate,baja california,mexico,32.56717,-116.62509,64764,
21936,sollentuna,stockholm,sweden,59.42804,17.95093,139606,
21937,burlingame,california,united states,37.5841,-122.36608,30459,San Francisco-Oakland-Fremont CA MSA
21939,baliuag,central luzon,philippines,14.95472,120.89694,135679,
21940,carlsbad,new mexico,united states,32.42067,-104.22884,28957,San Diego-Carlsbad-San Marcos CA MSA
21942,taoyuan city,taiwan,taiwan,24.99368,121.29696,402014,
21943,kista,stockholm,sweden,59.40316,17.94479,10254,
21944,greenville,rhode island,united states,41.87121,-71.55201,8658,Providence-New Bedford-Fall River RI-MA MSA
21945,bhimavaram,andhra pradesh,india,16.54078,81.52322,142967,
21946,miskolc,borsod abauj zemplen,hungary,48.10306,20.77806,172637,
21948,north easton,massachusetts,united states,42.0668,-71.1037,0,Providence-New Bedford-Fall River RI-MA MSA
21949,williamsburg,virginia,united states,37.2707,-76.70746,15052,Virginia Beach-Norfolk-Newport News VA-NC MSA
21950,fort knox,kentucky,united states,37.89113,-85.96363,10124,Elizabethtown KY MSA
21951,koblenz,rheinland pfalz,germany,50.35357,7.57883,107319,
21952,buffalo grove,illinois,united states,42.15141,-87.95979,41496,Chicago-Naperville-Joliet IL-IN-WI MSA
21953,naron,galicia,spain,43.50175,-8.19082,37712,
21954,loon plage,hauts de france,france,50.99647,2.2177,6640,
21956,haarlem,noord holland,netherlands,52.3803,4.6406,159134,
21957,nantong,jiangsu,china,32.03028,120.87472,2273326,
21958,kigali,kigali,rwanda,-1.94995,30.05885,1132686,
21960,ashington,england,united kingdom,55.17719,-1.56412,27670,
21962,nivelles,wallonia,belgium,50.59833,4.32848,24149,
21963,ellisville,mississippi,united states,31.60405,-89.19561,4573,MS NONMETROPOLITAN AREA
21964,singen,baden wurttemberg,germany,47.75935,8.8403,48033,
21965,ashland city,tennessee,united states,36.27422,-87.06417,4649,Nashville-Davidson-Murfreesboro-Franklin TN MSA
21966,angwin,california,united states,38.57574,-122.44998,3051,Napa CA MSA
21967,ismaning,bavaria,germany,48.23333,11.68333,14596,
21968,volvic,auvergne rhone alpes,france,45.87196,3.03832,4456,
21969,estero,florida,united states,26.43814,-81.80675,30799,Cape Coral-Fort Myers FL MSA
21970,cotati,california,united states,38.32686,-122.70721,7445,Santa Rosa-Petaluma CA MSA
