,city,state,country,latitude,longitude,population,msa
152,middletown,virginia,united states,39.02761,-78.28056,1315,Washington-Arlington-Alexandria DC-VA-MD-WV MSA
155,littlestown,pennsylvania,united states,39.74454,-77.08804,4478,PA NONMETROPOLITAN AREA
156,bushnell,florida,united states,28.66499,-82.11286,2995,FL NONMETROPOLITAN AREA
158,ararat,ararat,armenia,39.83069,44.70569,28832,
159,el carmen,nuevo leon,mexico,24.61649,-100.49271,74,
160,sanlucar la mayor,andalusia,spain,37.38758,-6.20346,12749,
162,sirnach,thurgau,switzerland,47.46222,8.99763,6463,
164,koh tao,surat thani,thailand,10.09808,99.83809,1382,
165,whetstone,leicestershire,united kingdom,52.5724,-1.1799,6556,
166,acambaro,guanajuato,mexico,20.03085,-100.72194,57972,
167,ballston,virginia,united states,38.8801,-77.1139,0,
168,readfield,maine,united states,44.38785,-69.96672,2454,ME NONMETROPOLITAN AREA
169,santaluz,bahia,brazil,-11.25583,-39.37472,24739,
170,tottenham,ontario,canada,44.02437,-79.80553,5143,
171,roaring spring,pennsylvania,united states,40.33591,-78.39085,2537,Altoona PA MSA
173,adma,mont liban,lebanon,34.0228,35.6419,0,
175,holloman afb,new mexico,united states,32.8483,-106.0998,4096,Las Cruces NM MSA
176,purwodadi,central java,indonesia,-7.0868,110.9158,150206,
177,los cortijos,chihuahua,mexico,25.90912,-107.25207,36,
179,malvik,trøndelag,norway,63.43333,10.68333,6419,
180,sanepa,banten,indonesia,-6.3106,106.3083,0,
181,cisterna,campania,italy,41.19201,14.27772,88,
182,jægerspris,capital region,denmark,55.85248,11.98565,4043,
183,mojacar,andalusia,spain,37.1402,-1.85102,5154,
184,koudekerke,zeeland,netherlands,51.48167,3.55417,2880,
185,vlezenbeek,flanders,belgium,50.80778,4.23197,3377,
186,gravellona toce,piedmont,italy,45.92859,8.43209,7077,
187,hoegaarden,flanders,belgium,50.7756,4.88952,3226,
188,ilupeju,ekiti,nigeria,7.5687,5.406,0,
189,st pauls,mzimba,malawi,-11.8922,33.6067,0,
190,manurewa,auckland,new zealand,-37.0182,174.88019,19236,
192,westville,new jersey,united states,39.86789,-75.13156,4224,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA
194,homebase,sulawesi tenggara,indonesia,-4.0282,122.4918,0,
195,slavkov u brna,south moravian,czechia,49.15325,16.87649,5936,
196,linne,limburg,netherlands,51.155,5.93889,3645,
197,mumba,nord kivu,congo,-1.4558,28.8836,0,
198,les gets,auvergne rhone alpes,france,46.15522,6.66492,1331,
199,moncure,north carolina,united states,35.62265,-79.07835,711,Durham NC MSA
202,pleasant,pennsylvania,united states,41.7982,-79.2032,2321,
203,byfield,massachusetts,united states,42.7598,-70.9481,0,Boston-Cambridge-Quincy MA-NH MSA
204,kingston,new hampshire,united states,42.93648,-71.05339,6225,Boston-Cambridge-Quincy MA-NH MSA
205,warren,vermont,united states,44.111,-72.8608,1649,VT NONMETROPOLITAN AREA
207,jackson,minnesota,united states,43.62079,-94.9886,3234,Jackson MS MSA
208,govan,glasgow city,united kingdom,55.8615,-4.3083,5860,
210,thousand palms,california,united states,33.82002,-116.39029,7715,Riverside-San Bernardino-Ontario CA MSA
211,borden,england,united kingdom,51.33426,0.70038,741,
212,dargaville,northland,new zealand,-35.93333,173.88333,4950,
213,reghaia,algiers,algeria,36.73587,3.34018,54962,
214,donnybrook,leinster,ireland,53.31375,-6.22274,10645,
215,scarborough,queensland,australia,-27.20118,153.10939,8605,
216,woodville,leicestershire,united kingdom,52.769,-1.533,5161,
217,tybee island,georgia,united states,32.00022,-80.84567,3102,Savannah GA MSA
218,malmesbury,wiltshire,united kingdom,51.584,-2.098,5380,
220,kromeriz,zlin,czechia,49.29785,17.39312,29126,
221,betheny,grand est,france,49.28498,4.05495,6002,
222,steinach,baden wurttemberg,germany,48.3,8.05,3924,
223,eveleth,minnesota,united states,47.46243,-92.53991,3673,Duluth MN-WI MSA
224,ruschlikon,zurich,switzerland,47.30688,8.55135,4653,
226,riverton,southland,new zealand,-46.35,168.01667,1431,
227,muurame,central finland,finland,62.13333,25.66667,8826,
228,souillac,savanne,mauritius,-20.51667,57.51667,4392,
229,general,cebu,philippines,10.6296,124.447,0,
232,stabekk,oslo,norway,59.9075,10.6056,0,
233,sylvia park,california,united states,34.115,-118.5818,0,
234,silvi,abruzzo,italy,42.54984,14.11759,12551,
235,slupsk,pomorskie,poland,54.4667,17.0333,0,
236,bladensburg,maryland,united states,38.93928,-76.93386,9640,Washington-Arlington-Alexandria DC-VA-MD-WV MSA
237,frenkendorf,basel landschaft,switzerland,47.50686,7.71648,6180,
238,romans,auvergne rhone alpes,france,46.1198,5.02486,577,
239,brady,texas,united states,31.13517,-99.33506,5549,TX NONMETROPOLITAN AREA
240,lexington,ohio,united states,40.67867,-82.58239,4731,Lexington-Fayette KY MSA
