city,state,country,latitude,longitude,population
vicar,andalusia,spain,36.83155,-2.64273,22853
bramley,england,united kingdom,51.32677,-1.05938,4233
crescent springs,kentucky,united states,39.05145,-84.58161,4010
new berlin,new york,united states,42.62424,-75.33156,974
neckartenzlingen,baden wurttemberg,germany,48.58981,9.23478,6308
salt river,kentucky,united states,37.9792,-85.7125,0
ecorse,michigan,united states,42.24448,-83.14576,9257
colegiales,buenos aires f d,argentina,-34.57365,-58.44924,57000
grandview,washington,united states,46.25097,-119.9017,11176
borneo,pichincha,ecuador,-0.25,-79.1333,0
loudwater,england,united kingdom,51.6,-0.7,4170
pinecrest,california,united states,38.1885,-119.9907,0
huittinen,satakunta,finland,61.18333,22.7,8952
jurong,jiangsu,china,31.9579,119.1595,617706
saint sulpice de pommeray,centre,france,47.6,1.26667,1962
couillet,wallonia,belgium,50.39139,4.45908,11365
storo,trentino alto adige,italy,45.84925,10.58022,2390
barr,grand est,france,48.40755,7.44873,6343
west henrietta,new york,united states,43.04006,-77.66167,11691
grajau,maranhao,brazil,-5.81944,-46.13861,30217
wyton,east riding of yorkshire,united kingdom,53.7825,-0.2149,0
nova olimpia,mato grosso,brazil,-14.79722,-57.28806,19274
mabank,texas,united states,32.36653,-96.10081,3309
zebrak,central bohemia,czechia,49.87574,13.89735,2139
franklin,louisiana,united states,29.79604,-91.5015,7302
trooper,pennsylvania,united states,40.14983,-75.40185,5744
concordia,kansas,united states,39.57084,-97.66254,5218
andalsnes,møre og romsdal,norway,62.56749,7.68709,2035
brædstrup,central jutland,denmark,55.97153,9.61129,3130
lamu,lamu,kenya,-2.27169,40.90201,24525
villa bosch,buenos aires,argentina,-34.5857,-58.577,0
batulicin,kepulauan riau,indonesia,0.6667,104.2667,0
saint jean cap ferrat,provence alpes cote d azur,france,43.68843,7.33361,2149
milaca,minnesota,united states,45.7558,-93.65441,2883
lota,queensland,australia,-27.46923,153.1858,3171
colby,england,united kingdom,54.57564,-2.51553,120
nyahururu,laikipia,kenya,0.03813,36.36339,31978
aguimes,canary islands,spain,27.90539,-15.44609,28924
dunkeld,scotland,united kingdom,56.5655,-3.58559,1340
guanare,portuguesa,venezuela,9.04183,-69.74206,194688
kenansville,north carolina,united states,34.96239,-77.96221,870
st olaf,iowa,united states,42.9269,-91.3879,101
hartley wintney,england,united kingdom,51.30379,-0.90019,4488
mahe,kerala,india,11.70172,75.53474,38183
playa blanca,canary islands,spain,28.86426,-13.82814,10000
hakuba,nagano,japan,36.69818,137.86185,9246
chianciano terme,tuscany,italy,43.04181,11.81205,6162
kutina,sisacko moslavacka,croatia,45.475,16.78194,14886
westwego,louisiana,united states,29.90604,-90.1423,8542
akkrum,friesland,netherlands,53.05024,5.83087,3440
grand bend,ontario,canada,43.3167,-81.75,0
walpole,new hampshire,united states,43.07952,-72.42592,605
munkebo,south denmark,denmark,55.45553,10.55433,5536
peshtigo,wisconsin,united states,45.05443,-87.74927,3430
wallace,north carolina,united states,34.73572,-77.99526,3964
wemeldinge,zeeland,netherlands,51.51833,3.99722,2855
north st paul,minnesota,united states,45.0137,-92.9995,12506
kosciusko,mississippi,united states,33.058,-89.58956,7187
burford,england,united kingdom,51.80915,-1.63628,1184
castilleja de la cuesta,andalusia,spain,37.38594,-6.05258,17150
yehud,central district,israel,32.03317,34.89091,25600
kvistgard,capital region,denmark,55.99348,12.50446,1127
koło,greater poland,poland,52.20024,18.63865,23493
longueil,normandy,france,49.88333,0.96667,527
moorefield,west virginia,united states,39.06233,-78.96947,2482
st peters,south australia,australia,-34.90498,138.62255,3119
herwijnen,gelderland,netherlands,51.82667,5.12917,2305
glenmoore,pennsylvania,united states,40.0868,-75.7819,0
watkins glen,new york,united states,42.38063,-76.87329,1859
auburn,new hampshire,united states,43.00453,-71.3484,5089
gonzaga,cagayan valley,philippines,18.25937,121.99495,7228
waterloo,indiana,united states,41.43199,-85.01997,2248
biancavilla,sicily,italy,37.64442,14.86685,23188
uci,yucatan,mexico,21.12682,-89.26827,1224
spisska nova ves,kosicky kraj,slovakia,48.94464,20.56153,39195
makarska,split dalmatia,croatia,43.29694,17.01778,13426
requinoa,libertador general bernardo o higgins,chile,-34.2833,-70.8333,0
capenhurst,england,united kingdom,53.2574,-2.95116,380
fair lakes,virginia,united states,38.853,-77.3885,8399
belville,north carolina,united states,34.23073,-77.96582,1936
tamm,baden wurttemberg,germany,48.91988,9.11556,12129
conceicao do coite,bahia,brazil,-11.56389,-39.28278,35171
stranraer,scotland,united kingdom,54.90234,-5.02731,10510
littau,lucerne,switzerland,47.05,8.26274,16121
gumi,gyeongsangbuk do,south korea,36.1136,128.336,427770
colonia leopoldina,pernambuco,brazil,-8.90889,-35.725,11913
richelieu,centre,france,47.01389,0.32406,2263
moody a f b,georgia,united states,30.97849,-83.21646,886
tossa de mar,catalonia,spain,41.71667,2.93333,5001
lido di jesolo,veneto,italy,45.50694,12.64694,10523
defence colony,uttarakhand,india,30.2798,78.0545,0
campina,prahova,romania,45.12619,25.73496,41554
wynne,arkansas,united states,35.22453,-90.78678,8193
kitgum,northern region,uganda,3.27833,32.88667,56891
le meux,hauts de france,france,49.36718,2.74374,1860
townsend,massachusetts,united states,42.66676,-71.70507,1128
lomira,wisconsin,united states,43.59138,-88.44371,2384
zamora,michoacan,mexico,19.9855,-102.28387,141627
gallardon,centre,france,48.52622,1.69307,3625
cazaux,occitanie,france,43.05257,1.51181,46
rungsted,hovedstaden,denmark,55.8693,12.5516,0
cabra,andalusia,spain,37.47249,-4.44206,21352
sainte suzanne,reunion,reunion,-20.90616,55.60788,20530
jefferson hills,pennsylvania,united states,40.29118,-79.93199,11360
saint nicolas,wallonia,belgium,50.62837,5.53243,22586
belas,lisbon,portugal,38.7767,-9.26353,21019
thayngen,schaffhausen,switzerland,47.74717,8.70724,4120
canton,missouri,united states,40.1295,-91.51852,2377
ortuella,basque country,spain,43.31113,-3.05617,8360
solok,west sumatra,indonesia,-0.8006,100.6571,48372
grand,flanders,belgium,51.2,4.4667,0
alvik,norrbotten,sweden,65.51667,21.76667,771
palmital,sao paulo,brazil,-22.78889,-50.2175,18539
grimaud,provence alpes cote d azur,france,43.27329,6.52171,4122
dommelen,north brabant,netherlands,51.34624,5.43394,1220
mission bay,auckland,new zealand,-36.85472,174.83167,4341
muntendam,groningen,netherlands,53.1336,6.8686,4748
oost souburg,zeeland,netherlands,51.4636,3.6008,541
california polytechnic state university,california,united states,35.3053,-120.6655,0
rosebud,alberta,canada,51.3003,-112.9507,80
martelli,abruzzo,italy,42.36003,14.26864,26
parma,idaho,united states,43.78516,-116.94321,2082
seatac,washington,united states,47.44846,-122.29217,28215
montplaisir,flanders,belgium,50.7123,4.1192,0
kauniainen,uusimaa,finland,60.21209,24.72756,8688
nijeveen,drenthe,netherlands,52.7328,6.1675,2860
griffin,queensland,australia,-27.27149,153.03942,6703
gondar,amhara,ethiopia,12.6,37.46667,153914
lindsborg,kansas,united states,38.57362,-97.67448,3383
chepen,la libertad,peru,-7.22436,-79.42476,41992
forges les eaux,normandy,france,49.61391,1.54449,3775
crozon,brittany,france,48.24643,-4.48993,8123
saint pair sur mer,normandy,france,48.81455,-1.56761,3741
adra,andalusia,spain,36.74831,-3.02076,24373
lassigny,hauts de france,france,49.58828,2.84289,1317
baeza,andalusia,spain,37.99384,-3.47103,16253
curanilahue,biobio,chile,-37.47793,-73.34495,30611
leppavirta,north savo,finland,62.49009,27.78262,10936
carovigno,apulia,italy,40.70626,17.65847,14043
hornbæk,capital region,denmark,56.09027,12.45693,5334
bonao,monsenor nouel,dominican republic,18.93687,-70.40923,73269
gardone riviera,lombardy,italy,45.62396,10.56682,2059
emory,virginia,united states,36.77289,-81.83623,1251
china grove,north carolina,united states,35.56931,-80.58173,4182
salbris,centre,france,47.4242,2.05124,5810
ulysses,kansas,united states,37.58141,-101.35517,6097
oppenweiler,baden wurttemberg,germany,48.9827,9.4585,4295
north acton,ealing,united kingdom,51.528,-0.2577,0
thompson,england,united kingdom,52.53384,0.83038,343
kalemie,tanganyika,democratic republic of the congo,-5.94749,29.19471,146974
schwaig,bavaria,germany,49.46955,11.20064,8340
hamilton college,new york,united states,43.0527,-75.4077,0
ostia,odisha,india,20.0285,85.0342,0
corte franca,lombardy,italy,45.62998,9.98846,6282
malonne,wallonia,belgium,50.43969,4.79562,5467
cavallino,apulia,italy,40.3102,18.20221,7959
ardsley,new york,united states,41.01065,-73.84375,4638
pacheco,california,united states,37.98353,-122.07524,3685
ga rankuwa,north west,south africa,-25.61692,27.99471,90945
pleasant hills,pennsylvania,united states,40.33563,-79.96061,8252
l air,wallonia,belgium,50.6114,4.0573,0
asnæs,zealand,denmark,55.81229,11.50129,3028
hooglanderveen,utrecht,netherlands,52.1889,5.4292,0
le coteau,auvergne rhone alpes,france,46.01919,4.0923,7571
minot air force base,north dakota,united states,48.42087,-101.33914,5521
stajer,kostel,slovenia,45.47709,14.8547,4
kirke hvalsø,zealand,denmark,55.5917,11.86253,4086
perry,iowa,united states,41.8386,-94.10718,8089
march arb,california,united states,33.8888,-117.2776,989
mex,valais,switzerland,46.18548,7.00004,538
casier,veneto,italy,45.64229,12.29328,3508
surfside beach,south carolina,united states,33.606,-78.97309,4280
derwood,maryland,united states,39.11733,-77.16109,2381
vallirana,catalonia,spain,41.38676,1.93205,14066
eckernforde,schleswig holstein,germany,54.46854,9.83824,23383
howick,auckland,new zealand,-36.89359,174.93174,11067
castle donnington,leicestershire,united kingdom,52.8444,-1.3377,6416
rockford,minnesota,united states,45.0883,-93.73441,4358
annandale,new south wales,australia,-33.88333,151.16667,9259
coaticook,quebec,canada,45.13339,-71.79907,7021
areia branca,rio grande do norte,brazil,-4.95611,-37.13694,18372
villefranche,occitanie,france,43.42401,0.72709,143
new brighton,canterbury,new zealand,-43.51667,172.73333,6180
frasnes lez gosselies,wallonia,belgium,50.53838,4.45232,3356
oak ridge,north carolina,united states,36.17347,-79.98893,6671
weldon spring,missouri,united states,38.71339,-90.68929,5575
shady grove,pennsylvania,united states,39.7779,-77.6686,0
winterset,iowa,united states,41.33082,-94.01384,5176
st mary s,alaska,united states,62.0534,-163.17787,550
stavern,vestfold og telemark,norway,59.0,10.03333,5593
yennora,new south wales,australia,-33.86173,150.96865,1608
javene,bretagne,france,48.3192,-1.2158,2073
oudenhoorn,zuid holland,netherlands,51.8269,4.1917,1530
karnes city,texas,united states,28.88498,-97.90084,3371
pleasant ridge,michigan,united states,42.47115,-83.14215,2556
sweet home,oregon,united states,44.39762,-122.7362,9270
west union,ohio,united states,38.79452,-83.54519,3179
humaita,amazonas,brazil,-7.51651,-63.03105,31206
le noirmont,jura,switzerland,47.22464,6.95784,1617
neptune city,new jersey,united states,40.20011,-74.02792,4803
trevi,umbria,italy,42.87769,12.74938,4906
los vilos,coquimbo,chile,-31.9,-71.5167,21382
yeosu,jeollanam do,south korea,34.76062,127.66215,295538
regents park,queensland,australia,-27.67664,153.04165,10943
vertolaye,auvergne rhone alpes,france,45.64951,3.7072,652
modrice,south moravian,czechia,49.11928,16.60446,3866
yeadon,england,united kingdom,53.86437,-1.68743,37379
ferrum,virginia,united states,36.92292,-80.01337,2043
haskovo,haskovo,bulgaria,41.93415,25.55557,79699
ashtead,england,united kingdom,51.30873,-0.29972,13494
bosschenhoofd,north brabant,netherlands,51.56083,4.54028,1925
lauwersoog,groningen,netherlands,53.40468,6.21418,130
sloane,new south wales,australia,-35.9167,146.017,0
university village,utah,united states,40.7527,-111.8347,0
lake barrington,illinois,united states,42.21252,-88.15258,4973
orimattila,paijat hame,finland,60.80487,25.72964,14603
hillington,norfolk,united kingdom,52.8002,0.5473,400
limay,central luzon,philippines,14.56194,120.59833,52824
warren afb,wyoming,united states,41.1488,-104.8618,2456
łaziska gorne,silesia,poland,50.14952,18.84215,21983
immenstadt im allgau,bavaria,germany,47.55996,10.21394,14431
creon,nouvelle aquitaine,france,44.77456,-0.34817,3139
bethany,west virginia,united states,40.20563,-80.55674,1029
bollene,provence alpes cote d azur,france,44.28124,4.74891,14703
spakenburg,utrecht,netherlands,52.25,5.36667,4375
denbigh,wales,united kingdom,53.18333,-3.41667,8514
saint nom la breteche,ile de france,france,48.85942,2.02233,4828
witzenhausen,hesse,germany,51.34103,9.8554,16055
larose,louisiana,united states,29.57244,-90.38175,7400
smethwick,sandwell,united kingdom,52.4928,-1.9682,14146
colombier,bourgogne franche comte,france,47.66323,6.21012,391
glomfjord,nordland,norway,66.81663,13.94404,1204
jacmel,sud est,haiti,18.23427,-72.53539,137966
peosta,iowa,united states,42.45056,-90.85041,1618
eygelshoven,limburg,netherlands,50.8925,6.0592,5954
levico terme,trentino alto adige,italy,46.01217,11.30427,6171
